Kinase Accession,Family,Subcellular location
Q86SG6,NEK Ser/Thr protein kinase family; NIMA subfamily,Cytoplasm; Cytoplasm; cytoskeleton; Cell projection; cilium; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; cilium;
Q8TD19,NEK Ser/Thr protein kinase family; NIMA subfamily,Cytoplasm; Nucleus;
P25092,,Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
Q02846,,Photoreceptor outer segment membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
P51841,,Photoreceptor outer segment membrane; Single-pass type I membrane protein;
P16066,,Membrane; Single-pass type I membrane protein;
P20594,,Cell membrane; Single-pass type I membrane protein;
Q02750,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; microtubule organizing center; spindle; spindle pole; spindle pole body; Cytoplasm; Nucleus; Membrane; Peripheral membrane protein; centrosome; Membrane;
P36507,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Cytoplasm; Membrane; Peripheral membrane protein; Membrane;
P46734,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,
P45985,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Cytoplasm; Nucleus;
Q13163,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,
P52564,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Nucleus; Cytoplasm; Cytoplasm; cytoskeleton;
O14733,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,Nucleus; Cytoplasm;
Q13233,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q02779,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q16584,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center;
Q12852,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Cell membrane;
O43283,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Membrane; Peripheral membrane protein;
Q99558,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm;
Q6ZN16,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q56UN5,STE Ser/Thr protein kinase family,
Q9Y2U5,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Nucleus;
Q9NYL2,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Nucleus;
Q5TCX8,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q99759,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q9Y6R4,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; perinuclear region;
Q99683,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Endoplasmic reticulum;
O95382,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
O43318,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cytosol;
P41279,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Cytoplasm;
P80192,STE Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,
Q92918,STE Ser/Thr protein kinase family,
Q12851,STE Ser/Thr protein kinase family,Cytoplasm; Basolateral cell membrane; Peripheral membrane protein; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein;
Q8IVH8,STE Ser/Thr protein kinase family,
O95819,STE Ser/Thr protein kinase family,Cytoplasm;
Q9Y4K4,STE Ser/Thr protein kinase family,Cytoplasm;
Q8N4C8,STE Ser/Thr protein kinase family,Cytoplasm; Cell junction; postsynaptic density; synapse; axon; Cell projection; Cell projection; dendrite; Golgi apparatus;
Q8NEV4,ATPase superfamily; Myosin family; STE Ser/Thr protein kinase family,Cytoplasm; cytoskeleton; Cytoplasm; Cell projection; filopodium; filopodium tip; Cell projection; cilium; stereocilium;
Q8WXR4,ATPase superfamily; Myosin family; STE Ser/Thr protein kinase family,Cytoplasm; cytoskeleton; Cell projection; cilium; stereocilium;
Q7Z2Y5,STE Ser/Thr protein kinase family,
O95747,STE Ser/Thr protein kinase family,Cytoplasm;
Q13153,STE Ser/Thr protein kinase family,Cytoplasm; Cell junction; focal adhesion; Cell membrane; Cell projection; ruffle; ruffle membrane; Cell projection; invadopodium; nucleoplasm; Nucleus; Chromosome; focal adhesion; ruffle; nucleoplasm;
Q13177,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus; Cytoplasm; perinuclear region; Lipid-anchor; Membrane; perinuclear region;
O75914,STE Ser/Thr protein kinase family; STE Ser/Thr protein kinase family,Cytoplasm;
O96013,STE Ser/Thr protein kinase family,Cytoplasm;
Q9P286,STE Ser/Thr protein kinase family,Mitochondrion; Cytoplasm; Nucleus;
Q9NQU5,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q96KB5,STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,
Q9H2G2,STE Ser/Thr protein kinase family,Cytoplasm;
O94804,STE Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein;
Q9Y6E0,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus; Membrane;
O00506,STE Ser/Thr protein kinase family,Cytoplasm; Golgi apparatus; Golgi apparatus;
Q9P289,STE Ser/Thr protein kinase family,Cytoplasm; Golgi apparatus;
Q13188,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q9UEW8,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus; Nucleus;
Q13043,STE Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q7RTN6,STE Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q9C0K7,STE Ser/Thr protein kinase family,Nucleus; Cytoplasm;
Q7L7X3,STE Ser/Thr protein kinase family,Cytoplasm;
Q9UL54,STE Ser/Thr protein kinase family,Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Multi-pass membrane protein; Cytoplasm; cytoskeleton; Nucleus; Cell projection; dendrite; dendrite;
Q9H2K8,STE Ser/Thr protein kinase family,Cytoplasm; Cell membrane; Peripheral membrane protein;
Q9UKE5,STE Ser/Thr protein kinase family,Nucleus; Cytoplasm; Recycling endosome; Cytoplasm; cytoskeleton;
Q04771,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
P36896,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
Q8NER5,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
P27037,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
Q13705,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P37023,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
Q16671,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Membrane; Single-pass type I membrane protein;
Q8NFD2,TKL Ser/Thr protein kinase family,
P10398,TKL Ser/Thr protein kinase family; RAF subfamily,Cell membrane; Multi-pass membrane protein;
P36894,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell surface;
O00238,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Membrane; Single-pass type I membrane protein;
Q13873,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P15056,TKL Ser/Thr protein kinase family; RAF subfamily,Nucleus; Cytoplasm; Cell membrane;
Q13418,TKL Ser/Thr protein kinase family,Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; lamellipodium; Cytoplasm; myofibril; sarcomere;
P51617,TKL Ser/Thr protein kinase family; Pelle subfamily,Cytoplasm; Nucleus; Lipid droplet;
O43187,TKL Ser/Thr protein kinase family; Pelle subfamily,
Q9Y616,TKL Ser/Thr protein kinase family; Pelle subfamily,
Q9NWZ3,TKL Ser/Thr protein kinase family; Pelle subfamily,Cytoplasm;
Q8IVT5,TKL Ser/Thr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein; Cell membrane; Peripheral membrane protein; Cell projection; ruffle; ruffle membrane; Endoplasmic reticulum; Endoplasmic reticulum membrane;
Q6VAB6,TKL Ser/Thr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein;
P53667,TKL Ser/Thr protein kinase family,Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; Cell projection; lamellipodium; lamellipodium;
P53671,TKL Ser/Thr protein kinase family,Cytoplasm; Nucleus; Cytoplasm; cytoskeleton; spindle; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
Q38SD2,TKL Ser/Thr protein kinase family; ROCO subfamily,Cytoplasm;
Q5S007,TKL Ser/Thr protein kinase family,Cytoplasm; Cytoplasmic vesicle; Perikaryon; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; axon; Cell projection; Cell projection; dendrite; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; synaptic vesicle; synaptic vesicle membrane; Endosome; Lysosome; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Golgi apparatus;
P04049,TKL Ser/Thr protein kinase family; RAF subfamily,Cytoplasm; Cell membrane; Mitochondrion; Nucleus;
Q13546,TKL Ser/Thr protein kinase family,Cytoplasm; Cell membrane;
O43353,TKL Ser/Thr protein kinase family,Cytoplasm;
Q9Y572,TKL Ser/Thr protein kinase family,Cytoplasm; cytosol; Cell membrane; Mitochondrion;
P57078,TKL Ser/Thr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein;
Q15569,TKL Ser/Thr protein kinase family,
Q96S53,TKL Ser/Thr protein kinase family,Nucleus;
P36897,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell junction; tight junction; Cell surface; Membrane; Membrane raft;
P37173,TKL Ser/Thr protein kinase family; TGFB receptor subfamily,Cell membrane; Single-pass type I membrane protein; Membrane; Membrane raft;
Q59H18,TKL Ser/Thr protein kinase family; MAP kinase kinase kinase subfamily,Nucleus; Cytoplasm;
Q6ZMQ8,Tyr protein kinase family,Membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasm; perinuclear region;
P00519,Tyr protein kinase family; ABL subfamily,Cytoplasm; cytoskeleton; Nucleus; Mitochondrion; Lipid-anchor; Nucleus; Nucleus membrane;
P42684,Tyr protein kinase family; ABL subfamily,Cytoplasm; cytoskeleton;
Q9UM73,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Membrane;
P30530,Tyr protein kinase family; AXL/UFO subfamily,Cell membrane; Single-pass type I membrane protein; Cell membrane; Multi-pass membrane protein;
P51451,Tyr protein kinase family; SRC subfamily,Cell membrane; Lipid-anchor; Membrane;
P51813,Tyr protein kinase family; TEC subfamily,Cytoplasm;
Q06187,Tyr protein kinase family; TEC subfamily,Cytoplasm; Cell membrane; Peripheral membrane protein; Nucleus; cytosol; gem; Mitochondrion; Mitochondrion inner membrane; Single-pass membrane protein;
P07333,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P41240,Tyr protein kinase family; CSK subfamily,Cytoplasm; Cell membrane;
Q08345,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein;
Q16832,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P00533,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein; Golgi apparatus; Golgi apparatus membrane; Single-pass type I membrane protein; Nucleus; Nucleus membrane; Single-pass type I membrane protein; Endosome; Endosome; Endosome membrane; Nucleus; Secreted;
P21709,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
Q5JZY3,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted;
P29317,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; ruffle; ruffle membrane; Single-pass type I membrane protein; Cell projection; lamellipodium; lamellipodium membrane; Single-pass type I membrane protein; Cell junction; focal adhesion; perinuclear region;
P29320,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Secreted; Nucleus; Membrane; Multi-pass membrane protein;
P54764,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite; Cell junction; postsynaptic density; postsynaptic density membrane; synapse; Early endosome; adherens junction; Cell junction;
P54756,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite;
Q9UF33,Tyr protein kinase family; Ephrin receptor subfamily,Membrane; Single-pass type I membrane protein;
Q15375,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P29322,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; Early endosome; Early endosome membrane;
P54762,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Cell projection; dendrite;
P29323,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; axon; Cell projection; Cell projection; dendrite;
P54753,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; dendrite;
P54760,Tyr protein kinase family; Ephrin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
O15197,Tyr protein kinase family; Ephrin receptor subfamily,Membrane; Single-pass type I membrane protein; Secreted;
P04626,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Early endosome; Cytoplasm; perinuclear region; Nucleus; Cytoplasm; Nucleus; Cytoplasm; Nucleus;
P21860,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Secreted; Cell inner membrane; Multi-pass membrane protein; Secreted;
Q15303,Tyr protein kinase family; EGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Nucleus; Mitochondrion;
P16591,Tyr protein kinase family; Fes/fps subfamily,Cytoplasm; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; Cell junction; Cytoplasm; Cytoplasmic side; Membrane; Peripheral membrane protein; Nucleus; cell cortex; Cytoplasm; cell cortex;
P07332,Tyr protein kinase family; Fes/fps subfamily,Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cytoplasm; Cytoplasmic vesicle; Golgi apparatus; Cell junction; focal adhesion; cytosol; focal adhesion;
P11362,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm; cytosol; Cytoplasm; Cytoplasmic vesicle; cytosol; Golgi apparatus;
P21802,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Secreted;
P22607,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Secreted; Cell membrane; Single-pass type I membrane protein;
P22455,Tyr protein kinase family; Fibroblast growth factor receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endosome; Endoplasmic reticulum; Secreted; Cytoplasm;
P09769,Tyr protein kinase family; SRC subfamily,Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell projection; ruffle; ruffle membrane; Cytoplasm; cytosol; Cytoplasm; cytoskeleton; Mitochondrion; Mitochondrion inner membrane; Mitochondrion; Mitochondrion intermembrane space; ruffle;
P17948,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endosome; Secreted; Secreted; Secreted; Cytoplasm; Cytoplasm; Cytoplasm;
P36888,Tyr protein kinase family; PDGF receptor subfamily,Membrane; Single-pass type I membrane protein; Endoplasmic reticulum; Endoplasmic reticulum lumen;
P35916,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Secreted; Cytoplasm;
P42685,Tyr protein kinase family; SRC subfamily,Cytoplasm; Nucleus;
P06241,Tyr protein kinase family; SRC subfamily,Cytoplasm; Nucleus; Cell membrane;
P08631,Tyr protein kinase family; SRC subfamily,Lysosome; Lipid-anchor; Membrane; Cell projection; Lipid-anchor; podosome; podosome membrane; Cytoplasm; cytosol; Cell membrane; Lipid-anchor; caveola; Lipid-anchor; Membrane; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Golgi apparatus; Cytoplasm; Cytoplasmic vesicle; Lysosome; Nucleus; caveola; caveola; cytoskeleton; focal adhesion; Cytoplasm; Cytoplasmic vesicle; secretory vesicle; Cytoplasm; cytosol;
P08069,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P06213,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Late endosome; Lysosome;
P14616,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein;
Q08881,Tyr protein kinase family; TEC subfamily,Cytoplasm; Nucleus;
P23458,Tyr protein kinase family; JAK subfamily,Endomembrane system; Peripheral membrane protein;
O60674,Tyr protein kinase family; JAK subfamily,Endomembrane system; Peripheral membrane protein; Cytoplasm; Nucleus;
P52333,Tyr protein kinase family; JAK subfamily,Endomembrane system; Peripheral membrane protein; Cytoplasm;
P35968,Tyr protein kinase family; PDGF receptor subfamily,Cell junction; Endoplasmic reticulum; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Nucleus; Cytoplasm; Cytoplasmic vesicle; Early endosome; caveola; Secreted; Secreted;
P10721,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell membrane; Single-pass type I membrane protein; Cytoplasm; Mitochondrion; Mitochondrion inner membrane; Multi-pass membrane protein;
P06239,Tyr protein kinase family; SRC subfamily,Cytoplasm; Cell membrane; Cytoplasm; Cytoplasmic side; Lipid-anchor;
Q8IWU2,Tyr protein kinase family,Membrane; Multi-pass membrane protein;
Q96Q04,Tyr protein kinase family,Membrane; Single-pass membrane protein; axon; Cell projection; Cell projection; dendrite; Golgi apparatus; Golgi apparatus membrane;
P29376,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein;
P07948,Tyr protein kinase family; SRC subfamily; Hantavirus envelope glycoprotein family,Cell membrane; Nucleus; Cytoplasm; Cytoplasm; perinuclear region; Golgi apparatus; Lipid-anchor; Membrane; Golgi apparatus;
P42679,Tyr protein kinase family; CSK subfamily,Cytoplasm; Membrane; cytoskeleton;
Q12866,Tyr protein kinase family; AXL/UFO subfamily,Membrane; Single-pass type I membrane protein;
P08581,Tyr protein kinase family,Membrane; Single-pass type I membrane protein; Secreted;
Q04912,Tyr protein kinase family,Membrane; Single-pass type I membrane protein;
O15146,Tyr protein kinase family,Cell junction; postsynaptic cell membrane; Single-pass type I membrane protein; synapse; synaptic cell membrane; postsynaptic cell membrane; synaptic cell membrane;
P04629,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; Single-pass type I membrane protein; Late endosome; Late endosome membrane; Single-pass type I membrane protein; Recycling endosome; Recycling endosome membrane; Single-pass type I membrane protein; axon;
Q16620,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Single-pass type I membrane protein; Early endosome; Early endosome membrane; axon; Cell projection; Cell projection; dendrite; Cytoplasm; perinuclear region; Cell junction; postsynaptic density; synapse;
Q16288,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein;
P16234,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cell projection; cilium; Golgi apparatus;
P09619,Tyr protein kinase family; PDGF receptor subfamily,Cell membrane; Single-pass type I membrane protein; Cytoplasm; Cytoplasmic vesicle; Lysosome; Lysosome lumen;
Q05397,Tyr protein kinase family; FAK subfamily,Cell junction; focal adhesion; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; cell cortex; Cytoplasm; Cytoplasm; cytoskeleton; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Nucleus; focal adhesion;
Q14289,Tyr protein kinase family; FAK subfamily,Cytoplasm; Cytoplasm; perinuclear region; Cell membrane; Cytoplasm; Cytoplasmic side; Peripheral membrane protein; Cell junction; focal adhesion; Cell projection; lamellipodium; cell cortex; Cytoplasm; Nucleus;
Q13882,Tyr protein kinase family; SIK subfamily,Cytoplasm; Nucleus; Cell projection; ruffle; Membrane;
Q13308,Tyr protein kinase family; Insulin receptor subfamily,Membrane; Single-pass type I membrane protein; Cell junction;
P07949,Tyr protein kinase family,Cell membrane; Single-pass type I membrane protein; Endosome; Endosome membrane; Single-pass type I membrane protein;
Q01973,Tyr protein kinase family; ROR subfamily,Membrane; Single-pass type I membrane protein; axon; Cell projection;
Q01974,Tyr protein kinase family; ROR subfamily; Nuclear hormone receptor family,Cell membrane; Single-pass type I membrane protein; nucleolus; Nucleus;
P08922,Tyr protein kinase family; Insulin receptor subfamily,Cell membrane; Single-pass type I membrane protein;
P34925,Tyr protein kinase family,Membrane; Single-pass type I membrane protein; Nucleus; Cytoplasm;
P12931,Tyr protein kinase family; SRC subfamily,Cell membrane; Mitochondrion; Mitochondrion inner membrane; Nucleus; Cytoplasm; cytoskeleton; Cytoplasm; perinuclear region; focal adhesion; gem; focal adhesion; focal adhesion; perinuclear region;
Q9H3Y6,Tyr protein kinase family; SRC subfamily,Cytoplasm;
Q6J9G0,Tyr protein kinase family,Membrane; Single-pass membrane protein;
P43405,Tyr protein kinase family,Cell membrane; Cytoplasm; cytosol;
P42680,Tyr protein kinase family; TEC subfamily,Cytoplasm; Cell membrane; Peripheral membrane protein; Cytoplasm; cytoskeleton; cytoskeleton; gem;
Q02763,Tyr protein kinase family; Tie subfamily,Cell membrane; Single-pass type I membrane protein; Cell junction; Cell junction; focal adhesion; Cytoplasm; cytoskeleton; Secreted; cytoskeleton; stress fiber;
P35590,Tyr protein kinase family; Tie subfamily,Cell membrane; Single-pass type I membrane protein;
Q13470,Tyr protein kinase family,Cytoplasm; Membrane; Peripheral membrane protein;
Q07912,Tyr protein kinase family,Cell membrane; Nucleus; Endosome; adherens junction; Cell junction; Cytoplasm; Cytoplasmic side; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein; clathrin-coated vesicle; Cytoplasm; Cytoplasmic vesicle; clathrin-coated pit; coated pit; Membrane; Cytoplasm; perinuclear region;
P42681,Tyr protein kinase family; TEC subfamily,Cytoplasm; Nucleus; Cell membrane; Peripheral membrane protein;
P29597,Tyr protein kinase family; JAK subfamily,
Q06418,Tyr protein kinase family; AXL/UFO subfamily,Cell membrane; Single-pass type I membrane protein;
P07947,Tyr protein kinase family; SRC subfamily,Cell membrane; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytosol;
P43403,Tyr protein kinase family,Cytoplasm; Cell membrane; Peripheral membrane protein; synapse; cytoskeleton; Nucleus;
Q2M2I8,Ser/Thr protein kinase family; CAMK Ser/Thr protein kinase family,Cell membrane; Peripheral membrane protein; clathrin-coated pit; coated pit; Membrane; Cell junction; presynapse; synapse; clathrin-coated pit; coated pit;
O14965,Ser/Thr protein kinase family; Aurora subfamily,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; spindle pole; cilium; cilium basal body; Cytoplasm; cytoskeleton; centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell projection; neuron projection; centrosome; spindle; spindle pole; centrosome; centriole; spindle; spindle pole;
Q96GD4,Ser/Thr protein kinase family; Aurora subfamily,Nucleus; Chromosome; centromere; Chromosome; Cytoplasm; cytoskeleton; spindle; Midbody; centromere; spindle; centromere;
Q9UQB9,Ser/Thr protein kinase family; Aurora subfamily,Nucleus; Chromosome; centromere; Chromosome; Cytoplasm; cytoskeleton; spindle;
Q9NSY1,Ser/Thr protein kinase family,Nucleus;
O43683,Ser/Thr protein kinase family,Nucleus; centromere; Chromosome; kinetochore; kinetochore; spindle; kinetochore;
O60566,Ser/Thr protein kinase family,Cytoplasm; Nucleus; centromere; Chromosome; kinetochore; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; kinetochore;
Q8N5S9,Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q96RR4,Ser/Thr protein kinase family,Nucleus; Cytoplasm; Cell projection; neuron projection;
O00311,Ser/Thr protein kinase family,Nucleus;
O15111,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm; Nucleus;
P68400,Ser/Thr protein kinase family,Nucleus;
P19784,Ser/Thr protein kinase family,
Q8NEV1,Ser/Thr protein kinase family,
Q6XUX3,Ser/Thr protein kinase family,Cytoplasm; Cell membrane; Apical cell membrane; Basolateral cell membrane; Cell junction;
Q9BQI3,Ser/Thr protein kinase family,Cytoplasm;
P19525,Ser/Thr protein kinase family,Cytoplasm; Nucleus; Cytoplasm; perinuclear region;
Q9NZJ5,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
Q9P2K8,Ser/Thr protein kinase family,Cytoplasm;
O75460,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
Q76MJ5,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type I membrane protein;
O14976,Ser/Thr protein kinase family,Cytoplasm; perinuclear region; Golgi apparatus; trans-Golgi network; Cell junction; focal adhesion; trans-Golgi network; focal adhesion;
Q8TF76,Ser/Thr protein kinase family; Haspin subfamily,Nucleus; Chromosome; Cytoplasm; cytoskeleton; spindle; spindle;
O14920,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm; Nucleus; Membrane; Membrane raft;
Q14164,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm; Nucleus; Nucleus; PML body;
Q8NB16,,Cytoplasm; Cell membrane;
P00540,Ser/Thr protein kinase family,Cell outer membrane; Cytoplasm;
Q9UHY1,Ser/Thr protein kinase family,cell cortex; Cytoplasm; Endomembrane system; Cell projection; lamellipodium;
Q9NSY0,Ser/Thr protein kinase family,Cytoplasm;
Q58A45,Pannexin family; ,Cytoplasm; P-body;
Q8N165,Ser/Thr protein kinase family,Nucleus;
Q9H792,,Cytoplasm; cytoskeleton; Cell junction; focal adhesion;
